brief_id,status,brand_id,brand_name,contract_id,contract_name,category,vertical,brief_allocation,photos_required,gifs_required,cinemagraphs_required,videos_required,brand_selection,rating,total_briefs_purchased,total_briefs_used,price_per_brief,product_type,created_date,
5a7228878fe8ef000f3c8bba,Closed,582cd7ceb45349ae666413c2,Hellmann's,5a25a52ea99cde0012a10cd2,Unilever Canada 2017 Subscription,Recipes,Food & Beverage,1,25,0,0,0,FALSE,,29,26,2827.59,,2018-01-31 20:38,
5a7240c470a27b001252b455,Closed,58d2a6433867c40c00a91b43,TIKI,5a269c0e50bd340011185307,Tiki - Lamplight - 2018-12 - Basic -Lamplight - (renewal 30k + expansion 92.5k),Product,Consumer Products,1,25,0,0,0,TRUE,5,35,40,3485.71,,2018-02-06 16:39,
5a7240c470a27b001252b455,Closed,58d2a6433867c40c00a91b43,TIKI,5a269c0e50bd340011185307,Tiki - Lamplight - 2018-12 - Basic -Lamplight - (renewal 30k + expansion 92.5k),Lifestyle,Consumer Products,1,25,0,0,0,TRUE,5,35,40,3485.71,,2018-02-06 16:39,
5a72666e584dbd0014c612b2,Closed,58d2a6433867c40c00a91b43,TIKI,5a269c0e50bd340011185307,Tiki - Lamplight - 2018-12 - Basic -Lamplight - (renewal 30k + expansion 92.5k),Product,Consumer Products,1,25,0,0,0,TRUE,4,35,40,3485.71,Basic,2018-02-06 16:39,
5a73268176f6730011b9dc65,Closed,5a53dd7d7b6374000f80d263,MTD Europe,5a49af631128180011f532d1,MTDEurope-MTDProductsInc-2018-12-MTD PRODUCTS (Europe),Lifestyle,Consumer Products,1,40,0,0,0,TRUE,5,8,10,3750,Basic,2018-04-06 13:37,
5a73268176f6730011b9dc65,Closed,5a53dd7d7b6374000f80d263,MTD Europe,5a49af631128180011f532d1,MTDEurope-MTDProductsInc-2018-12-MTD PRODUCTS (Europe),On Location,Consumer Products,1,40,0,0,0,TRUE,5,8,10,3750,Basic,2018-04-06 13:37,
5a733d3e76f6730011ba025f,Closed,5a7339713d265f000f2c3578,Rosetta Stone,5a733bb8193a3900139b3ace,Rosetta Stone- Rosetta Stone- 2018-10- Basic- Rosetta Stone - NEW - 1 year,Lifestyle,Service,0,25,0,0,0,FALSE,3,4,5,8375,Basic,2018-02-01 16:15,
5a733d3e76f6730011ba025f,Closed,5a7339713d265f000f2c3578,Rosetta Stone,5a733bb8193a3900139b3ace,Rosetta Stone- Rosetta Stone- 2018-10- Basic- Rosetta Stone - NEW - 1 year,Product,Service,0,25,0,0,0,FALSE,3,4,5,8375,Basic,2018-02-01 16:15,
5a73626889d46600115d0084,Closed,589c691cf51dde0d00abab10,Cereal Partners Worldwide UK,583ca4e3a1539a601a255e95,CLOSED - MULTIPLE BRANDS - NESTLE UK - 2018-04 - BASIC - Nestle - Subscriptions - UK 2016,Product,Food & Beverage,0,10,0,0,0,TRUE,4,141,139,2500,,2018-02-01 18:54,
5a73666a91051b00101b13e9,Closed,5660be293e697f3a7159059d,McDonald's Canada,5a4aa7dbd623c90011c923ef,McDonaldsCanda-McCafe-2019/12-Basic-,Lifestyle,Restaurant,1,25,0,0,0,FALSE,2.5,64,54,2962.5,,2018-02-01 20:58,
5a73666a91051b00101b13e9,Closed,5660be293e697f3a7159059d,McDonald's Canada,5a4aa7dbd623c90011c923ef,McDonaldsCanda-McCafe-2019/12-Basic-,Food & Drink,Restaurant,1,25,0,0,0,FALSE,2.5,64,54,2962.5,,2018-02-01 20:58,
5a73747671bcf3001527d375,Closed,585ab4625a7c880b007b3062,Otis Spunkmeyer,58530391d0dc0a0b004d3aed,"La Brea Bakery, Otis Spunkmeyer - Aryzta LLC - 2018-12 - Legacy- Aryzta LLC - Enteprise - 12 Months - New",Product,Food & Beverage,0,50,0,0,0,FALSE,5,50,53,2900,Basic,2018-02-02 21:18,
5a73747671bcf3001527d375,Closed,585ab4625a7c880b007b3062,Otis Spunkmeyer,58530391d0dc0a0b004d3aed,"La Brea Bakery, Otis Spunkmeyer - Aryzta LLC - 2018-12 - Legacy- Aryzta LLC - Enteprise - 12 Months - New",Food & Drink,Food & Beverage,0,50,0,0,0,FALSE,5,50,53,2900,Basic,2018-02-02 21:18,
5a7489a57f5475001096d860,Closed,55fb2c94337697b77f9e7013,Blaze Pizza,58ec20d52c663b0b00da8f17,Blaze Pizza LLC- Blaze Pizza- 2018-12- Basic- Blaze Pizza LLC - Brand - 24 Months - Renewal,Food & Drink,Restaurant,1,25,0,0,0,FALSE,5,24,24,2291.67,,2018-02-03 20:18,
5a7489a57f5475001096d860,Closed,55fb2c94337697b77f9e7013,Blaze Pizza,58ec20d52c663b0b00da8f17,Blaze Pizza LLC- Blaze Pizza- 2018-12- Basic- Blaze Pizza LLC - Brand - 24 Months - Renewal,Lifestyle,Restaurant,1,25,0,0,0,FALSE,5,24,24,2291.67,,2018-02-03 20:18,
